angle_reinf,F_norm_1,F_norm_2,F_tang_1,F_tang_2,Ft90_1,Ft90_2,angle_1,angle_2
0,6306.748046875,6873.0048828125,3243.69653320313,2486.92553710938,3712.19537535854,3925.80407082209,45.0,45.0
5,7656.53125,8333.8115234375,3524.22875976563,-2738.74584960938,3371.76599472672,3173.70512333847,45.0,45.0
10,9097.6669921875,9715.1171875,-3731.17700195313,-2825.93920898438,3077.22874177415,3162.49428432768,45.0,45.0
15,10574.7490234375,11181.5,-3856.94799804688,-3226.423828125,3001.84862636026,3244.11929535296,45.0,45.0
20,12121.5654296875,12569.119140625,-3820.43872070313,-2979.5234375,2297.00861095078,2546.26737140449,45.0,45.0
25,13901.5,14106.005859375,-3963.84814453125,-3093.861328125,1923.38823692883,1721.24487985259,45.0,45.0
30,15763.626953125,15541.7666015625,-3827.60009765625,-3003.04516601563,1272.82213623854,1366.1478755946,45.0,45.0
35,17695.505859375,17033.76171875,-3731.93334960938,-2971.95483398438,1058.202960559,1058.89696993241,45.0,45.0
40,19950.140625,18563.982421875,-3716.69018554688,-2938.56616210938,514.313864638158,1061.23462023951,45.0,45.0
45,22195.44921875,19797.888671875,-3574.65991210938,-2845.693359375,710.346505908173,694.664912663995,45.0,45.0
