,F_norm_1,F_norm_2,F_tang_1,F_tang_2,Ft90_1,Ft90_2,angle_1,angle_2
0.0,5624.1875,6108.94677734375,2762.286865234375,2124.35693359375,4352.8385829776316,4423.2014308073694,45.0,45.0
5.0,6850.05322265625,7413.9921875,3009.031494140625,-2343.595703125,4063.6767731806608,3908.9689382795318,45.0,45.0
10.0,8146.33056640625,8687.4140625,-3131.23193359375,-2429.393798828125,3665.3602198702174,3648.256841840132,45.0,45.0
15.0,9528.6552734375,10023.3818359375,-3380.375732421875,-2747.120849609375,3477.7806404685439,3940.2747771620839,45.0,45.0
20.0,10922.931640625,11305.033203125,-3287.99365234375,-2605.017333984375,2928.7360704858424,3061.7803422986485,45.0,45.0
25.0,12545.4951171875,12718.4443359375,-3433.531005859375,-2686.2490234375,2562.609949639299,2090.8623079340728,45.0,45.0
30.0,14225.728515625,14053.123046875,-3339.37890625,-2622.252197265625,1540.6080083493046,1955.1182054599533,45.0,45.0
35.0,16020.1953125,15423.84375,-3279.624755859375,-2634.981689453125,1506.2012432182999,1529.0004207713794,45.0,45.0
40.0,18083.267578125,16879.818359375,-3284.084716796875,-2610.314697265625,926.22258463411242,1418.095851953037,45.0,45.0
45,20098.1171875,18025.63671875,-3188.862548828125,-2554.91015625,1320.487116327025,1139.7209133810786,45.0,45.0
