angle_reinf,F_norm_1,F_norm_2,F_tang_1,F_tang_2,Ft90_1,Ft90_2,angle_1,angle_2
0,4063.95092773438,4292.21044921875,1160.84716796875,931.787048339844,21038.1413783607,18042.114996252,45.0,45.0
5,5115.5849609375,5305.98486328125,1464.58679199219,-1196.94409179688,5719.00402965329,5657.12470422794,45.0,45.0
10,5974.86328125,6283.9912109375,-1462.654296875,-1247.60473632813,4829.35087547632,5050.93826394819,45.0,45.0
15,7041.4111328125,7351.55615234375,-1605.27001953125,-1359.96044921875,5071.34950840903,5554.83349217377,45.0,45.0
20,8097.447265625,8263.1728515625,-1700.55078125,-1428.93395996094,4982.02922688998,6045.88310615353,45.0,45.0
25,9283.7578125,9310.4365234375,-1796.08349609375,-1519.78918457031,3740.08147362755,3975.32483579265,45.0,45.0
30,10458.4130859375,10266.4091796875,-1752.896484375,-1404.49279785156,3846.3263495864,3376.16873000882,45.0,45.0
35,11662.677734375,11447.529296875,-1682.61193847656,-1606.04345703125,2626.53743661766,3460.75577224696,45.0,45.0
40,13038.576171875,12316.447265625,-1827.90478515625,-1540.16918945313,2759.46204606671,3264.17102857975,45.0,45.0
45,14426.22265625,13110.91796875,-1980.07434082031,-1603.37353515625,2736.53375314679,3302.7122864989,45.0,45.0
